C.brenneri WBID,C.brenneri assignment (CN),C.briggsae WBID,C.briggsae assignment (CN),C.remanei WBID,C.remanei assignment (CN)
WBGene00163130,X,WBGene00089219,X,WBGene00051334,X
WBGene00163132,A,WBGene00037973,A,WBGene00057751,A
WBGene00163133,A,WBGene00038286,A,WBGene00052207,A
WBGene00163140,A,WBGene00036404,A,WBGene00061633,A
WBGene00163145,A,WBGene00040499,A,WBGene00058058,A
WBGene00163158,X,WBGene00034723,X,WBGene00052055,X
WBGene00163168,A,WBGene00033768,A,WBGene00069814,A
WBGene00163176,A,WBGene00029021,A,WBGene00055152,A
WBGene00163177,A,WBGene00031575,A,WBGene00055108,A
WBGene00163181,X,WBGene00029517,X,WBGene00058505,X
WBGene00163191,A,WBGene00039390,A,WBGene00056029,A
WBGene00163210,A,WBGene00033836,A,WBGene00054379,A
WBGene00163213,A,WBGene00087954,A,WBGene00064577,A
WBGene00163214,A,WBGene00031493,A,WBGene00055034,A
WBGene00163218,A,WBGene00031340,A,WBGene00054913,A
WBGene00163227,A,WBGene00033554,A,WBGene00068985,A
WBGene00163239,A,WBGene00030732,A,WBGene00055568,A
WBGene00163248,X,WBGene00034687,X,WBGene00052097,X
WBGene00163251,A,WBGene00025014,A,WBGene00062725,A
WBGene00163257,A,WBGene00030836,A,WBGene00054815,A
WBGene00163262,A,WBGene00030695,A,WBGene00055520,A
WBGene00163264,X,WBGene00032138,X,WBGene00051442,X
WBGene00163269,A,WBGene00026397,A,WBGene00066406,A
WBGene00163270,A,WBGene00029264,A,WBGene00064634,A
WBGene00163271,A,WBGene00086911,A,WBGene00053873,A
WBGene00163272,A,WBGene00041049,A,WBGene00076824,A
WBGene00163273,A,WBGene00036432,A,WBGene00069385,A
WBGene00163285,A,WBGene00035467,A,WBGene00066833,A
WBGene00163286,A,WBGene00030727,A,WBGene00055563,A
WBGene00163287,A,WBGene00024058,A,WBGene00053821,A
WBGene00163291,A,WBGene00027196,A,WBGene00064381,A
WBGene00163299,A,WBGene00031129,A,WBGene00059105,A
WBGene00163302,A,WBGene00024295,A,WBGene00067187,A
WBGene00163305,A,WBGene00037202,A,WBGene00080414,A
WBGene00163311,X,WBGene00036317,X,WBGene00063234,X
WBGene00163314,A,WBGene00025900,A,WBGene00053529,A
WBGene00163322,A,WBGene00033158,A,WBGene00058127,A
WBGene00163326,A,WBGene00040023,A,WBGene00072887,A
WBGene00163327,A,WBGene00026077,A,WBGene00053318,A
WBGene00163335,X,WBGene00029422,X,WBGene00065314,X
WBGene00163347,A,WBGene00041451,A,WBGene00061873,A
WBGene00163353,X,WBGene00088813,X,WBGene00083865,X
WBGene00163368,A,WBGene00035579,A,WBGene00064841,A
WBGene00163371,A,WBGene00035960,A,WBGene00055946,A
WBGene00163373,A,WBGene00040421,A,WBGene00063856,A
WBGene00163381,A,WBGene00031080,A,WBGene00059044,A
WBGene00163391,A,WBGene00035590,A,WBGene00064901,A
WBGene00163392,A,WBGene00040530,A,WBGene00057849,A
WBGene00163393,A,WBGene00031314,A,WBGene00054858,A
WBGene00163405,A,WBGene00039747,A,WBGene00057647,A
WBGene00163407,A,WBGene00040489,A,WBGene00058063,A
WBGene00163410,X,WBGene00025120,X,WBGene00063161,X
WBGene00163414,A,WBGene00035511,A,WBGene00061949,A
WBGene00163416,A,WBGene00038349,A,WBGene00052283,A
WBGene00163426,A,WBGene00041032,A,WBGene00071104,A
WBGene00163429,A,WBGene00025920,A,WBGene00053509,A
WBGene00163432,X,WBGene00036967,X,WBGene00058262,X
WBGene00163437,X,WBGene00032216,X,WBGene00051363,X
WBGene00163441,A,WBGene00030713,A,WBGene00055547,A
WBGene00163442,X,WBGene00029476,X,WBGene00065274,X
WBGene00163448,X,WBGene00034782,X,WBGene00077851,X
WBGene00163452,X,WBGene00036132,X,WBGene00059774,X
WBGene00163466,X,WBGene00023690,X,WBGene00051043,X
WBGene00163475,A,WBGene00033325,A,WBGene00060003,A
WBGene00163478,A,WBGene00033777,A,WBGene00063603,A
WBGene00163482,X,WBGene00027587,X,WBGene00051533,X
WBGene00163490,A,WBGene00026706,A,WBGene00066729,A
WBGene00163492,A,WBGene00038328,A,WBGene00052261,A
WBGene00163496,A,WBGene00034238,A,WBGene00065109,A
WBGene00163505,A,WBGene00041732,A,WBGene00052415,A
WBGene00163511,X,WBGene00035211,X,WBGene00051580,X
WBGene00163512,A,WBGene00040890,A,WBGene00060431,A
WBGene00163514,A,WBGene00030451,A,WBGene00052731,A
WBGene00163516,A,WBGene00025434,A,WBGene00057397,A
WBGene00163523,A,WBGene00033246,A,WBGene00064099,A
WBGene00163526,A,WBGene00042059,A,WBGene00055718,A
WBGene00163529,A,WBGene00031767,A,WBGene00056853,A
WBGene00163532,A,WBGene00024083,A,WBGene00053800,A
WBGene00163539,A,WBGene00030886,A,WBGene00058836,A
WBGene00163541,A,WBGene00030488,A,WBGene00060865,A
WBGene00163542,A,WBGene00038865,A,WBGene00055467,A
WBGene00163552,X,WBGene00032120,X,WBGene00051461,X
WBGene00163554,X,WBGene00035054,X,WBGene00051728,X
WBGene00163563,A,WBGene00036425,A,WBGene00069393,A
WBGene00163567,A,WBGene00039150,A,WBGene00064061,A
WBGene00163572,A,WBGene00031581,A,WBGene00055115,A
WBGene00163574,A,WBGene00088598,A,WBGene00068636,A
WBGene00163578,A,WBGene00032838,A,WBGene00084379,A
WBGene00163579,X,WBGene00036702,X,WBGene00051205,X
WBGene00163580,A,WBGene00032348,A,WBGene00054210,A
WBGene00163582,X,WBGene00027776,X,WBGene00058738,X
WBGene00163585,A,WBGene00037746,A,WBGene00055833,A
WBGene00163596,A,WBGene00023841,A,WBGene00067815,A
WBGene00163602,A,WBGene00031052,A,WBGene00059009,A
WBGene00163603,X,WBGene00036611,X,WBGene00051285,X
WBGene00163604,A,WBGene00031341,A,WBGene00054910,A
WBGene00163607,A,WBGene00033787,A,WBGene00069806,A
WBGene00163621,X,WBGene00034826,X,WBGene00051932,X
WBGene00163623,A,WBGene00040501,A,WBGene00058056,A
WBGene00163633,A,WBGene00042783,A,WBGene00054252,A
WBGene00163635,A,WBGene00031480,A,WBGene00055017,A
WBGene00163636,A,WBGene00035959,A,WBGene00055945,A
WBGene00163638,A,WBGene00032243,A,WBGene00062201,A
WBGene00163639,A,WBGene00025810,A,WBGene00053622,A
WBGene00163640,A,WBGene00039554,A,WBGene00057495,A
WBGene00163646,X,WBGene00036688,X,WBGene00051223,X
WBGene00163660,X,WBGene00036680,X,WBGene00051226,X
WBGene00163671,A,WBGene00038260,A,WBGene00052178,A
WBGene00163673,A,WBGene00031476,A,WBGene00055013,A
WBGene00163677,X,WBGene00035175,X,WBGene00051602,X
WBGene00163684,A,WBGene00027987,A,WBGene00063564,A
WBGene00163693,A,WBGene00032674,A,WBGene00070395,A
WBGene00163696,A,WBGene00037554,A,WBGene00061774,A
WBGene00163697,A,WBGene00028938,A,WBGene00052802,A
WBGene00163706,A,WBGene00039404,A,WBGene00056024,A
WBGene00163707,X,WBGene00035166,X,WBGene00051611,X
WBGene00163714,A,WBGene00038227,A,WBGene00052149,A
WBGene00163727,A,WBGene00033791,A,WBGene00063606,A
WBGene00163736,A,WBGene00033840,A,WBGene00054384,A
WBGene00163737,A,WBGene00035350,A,WBGene00056410,A
WBGene00163745,A,WBGene00037705,A,WBGene00055877,A
WBGene00163752,A,WBGene00041373,A,WBGene00064461,A
WBGene00163765,X,WBGene00034995,X,WBGene00051789,X
WBGene00163786,A,WBGene00031144,A,WBGene00059131,A
WBGene00163793,A,WBGene00029207,A,WBGene00064227,A
WBGene00163796,A,WBGene00030725,A,WBGene00055561,A
WBGene00163797,A,WBGene00030416,A,WBGene00052703,A
WBGene00163799,A,WBGene00037518,A,WBGene00061734,A
WBGene00163811,A,WBGene00039515,A,WBGene00057954,A
WBGene00163813,X,WBGene00035129,X,WBGene00051644,X
WBGene00163815,X,WBGene00032189,X,WBGene00051389,X
WBGene00163816,X,WBGene00023683,X,WBGene00051054,X
WBGene00163818,X,WBGene00029414,X,WBGene00065323,X
WBGene00163841,A,WBGene00040044,A,WBGene00070629,A
WBGene00163844,A,WBGene00024226,A,WBGene00062286,A
WBGene00163845,A,WBGene00030840,A,WBGene00054811,A
WBGene00163846,A,WBGene00024721,A,WBGene00053116,A
WBGene00163849,A,WBGene00040734,A,WBGene00060565,A
WBGene00163869,A,WBGene00025981,A,WBGene00053430,A
WBGene00163870,X,WBGene00036211,X,WBGene00077298,X
WBGene00163875,A,WBGene00038580,A,WBGene00062852,A
WBGene00163876,A,WBGene00038785,A,WBGene00054602,A
WBGene00163880,A,WBGene00037681,A,WBGene00055896,A
WBGene00163884,X,WBGene00032132,X,WBGene00051448,X
WBGene00163904,A,WBGene00035616,A,WBGene00061529,A
WBGene00163907,A,WBGene00025448,A,WBGene00057374,A
WBGene00163911,X,WBGene00035773,X,WBGene00051032,X
WBGene00163916,A,WBGene00038296,A,WBGene00052217,A
WBGene00163928,A,WBGene00041395,A,WBGene00064491,A
WBGene00163933,A,WBGene00039686,A,WBGene00057616,A
WBGene00163936,A,WBGene00033933,A,WBGene00054302,A
WBGene00163941,X,WBGene00025116,X,WBGene00063156,X
WBGene00163944,X,WBGene00027740,X,WBGene00058772,X
WBGene00163952,A,WBGene00027962,A,WBGene00066068,A
WBGene00163953,X,WBGene00025051,X,WBGene00063201,X
WBGene00163954,A,WBGene00026174,A,WBGene00053207,A
WBGene00163956,X,WBGene00041256,X,WBGene00065504,X
WBGene00163991,A,WBGene00023941,A,WBGene00053923,A
WBGene00163995,A,WBGene00031925,A,WBGene00071896,ambiguous
WBGene00163996,A,WBGene00026113,A,WBGene00053275,A
WBGene00163998,A,WBGene00026660,A,WBGene00057193,A
WBGene00164004,A,WBGene00034077,A,WBGene00063021,A
WBGene00164005,A,WBGene00027108,A,WBGene00059252,A
WBGene00164006,A,WBGene00023772,A,WBGene00061391,A
WBGene00164015,A,WBGene00033782,A,WBGene00063610,A
WBGene00164018,A,WBGene00030056,A,WBGene00070014,A
WBGene00164031,X,WBGene00023606,X,WBGene00051128,X
WBGene00164042,A,WBGene00039542,A,WBGene00057928,A
WBGene00164044,A,WBGene00039587,A,WBGene00080243,A
WBGene00164060,A,WBGene00025908,A,WBGene00053521,A
WBGene00164073,X,WBGene00025086,X,WBGene00063167,X
WBGene00164083,A,WBGene00038852,A,WBGene00055490,A
WBGene00164084,A,WBGene00041520,A,WBGene00066186,A
WBGene00164090,X,WBGene00029492,X,WBGene00065258,X
WBGene00164091,X,WBGene00029557,X,WBGene00058520,X
WBGene00164097,X,WBGene00029631,X,WBGene00058580,X
WBGene00164105,X,WBGene00032228,X,WBGene00051350,X
WBGene00164113,short,WBGene00030511,A,WBGene00058028,A
WBGene00164116,A,WBGene00035864,A,WBGene00065379,A
WBGene00164122,X,WBGene00036918,X,WBGene00058483,X
WBGene00164137,A,WBGene00034560,A,WBGene00070856,A
WBGene00164149,A,WBGene00041021,A,WBGene00066403,ambiguous
WBGene00164153,ambiguous,WBGene00036079,X,WBGene00059800,X
WBGene00164154,A,WBGene00025954,A,WBGene00053470,A
WBGene00164161,A,WBGene00023543,A,WBGene00064088,A
WBGene00164175,X,WBGene00025175,X,WBGene00058215,X
WBGene00164177,A,WBGene00029241,A,WBGene00064142,A
WBGene00164181,X,WBGene00029594,X,WBGene00058567,X
WBGene00164183,A,WBGene00035576,A,WBGene00064844,A
WBGene00164190,X,WBGene00034767,X,WBGene00052002,X
WBGene00164193,X,WBGene00025064,X,WBGene00063189,X
WBGene00164195,A,WBGene00030972,A,WBGene00058925,A
WBGene00164196,A,WBGene00028965,A,WBGene00052779,A
WBGene00164201,A,WBGene00030681,A,WBGene00055606,A
WBGene00164212,X,WBGene00035109,X,WBGene00051670,X
WBGene00164214,X,WBGene00035096,X,WBGene00051688,X
WBGene00164219,A,WBGene00033767,A,WBGene00069818,A
WBGene00164228,A,WBGene00027354,A,WBGene00056992,A
WBGene00164232,A,WBGene00023741,A,WBGene00061329,A
WBGene00164234,A,WBGene00042682,A,WBGene00055729,A
WBGene00164237,A,WBGene00035433,A,WBGene00060446,A
WBGene00164245,X,WBGene00029451,X,WBGene00065291,X
WBGene00164246,A,WBGene00040844,A,WBGene00060453,A
WBGene00164247,X,WBGene00027171,X,WBGene00058422,X
WBGene00164249,X,WBGene00034898,X,WBGene00051866,X
WBGene00164251,X,WBGene00029986,X,WBGene00060248,X
WBGene00164262,A,WBGene00025885,A,WBGene00053546,A
WBGene00164263,X,WBGene00036142,X,WBGene00059770,X
WBGene00164264,A,WBGene00030491,A,WBGene00060862,A
WBGene00164279,A,WBGene00041600,A,WBGene00064750,A
WBGene00164287,A,WBGene00025888,A,WBGene00053543,A
WBGene00164289,X,WBGene00035014,X,WBGene00051772,X
WBGene00164290,A,WBGene00025617,A,WBGene00054022,A
WBGene00164317,A,WBGene00029248,A,WBGene00064186,A
WBGene00164320,A,WBGene00036468,A,WBGene00054675,A
WBGene00164321,A,WBGene00031450,A,WBGene00054994,A
WBGene00164333,A,WBGene00029191,A,WBGene00064709,A
WBGene00164338,X,WBGene00029586,X,WBGene00058559,X
WBGene00164339,X,WBGene00034804,X,WBGene00051953,X
WBGene00164343,A,WBGene00039401,A,WBGene00056027,A
WBGene00164349,A,WBGene00030412,A,WBGene00052699,A
WBGene00164350,A,WBGene00041467,A,WBGene00061897,A
WBGene00164353,A,WBGene00037580,A,WBGene00061800,A
WBGene00164357,A,WBGene00042517,no.read,WBGene00069828,A
WBGene00164358,X,WBGene00037046,X,WBGene00058334,X
WBGene00164361,A,WBGene00029242,A,WBGene00064141,A
WBGene00164364,A,WBGene00037478,A,WBGene00061700,A
WBGene00164380,A,WBGene00028089,A,WBGene00065961,A
WBGene00164381,A,WBGene00038478,A,WBGene00068638,A
WBGene00164394,A,WBGene00026169,A,WBGene00053211,A
WBGene00164399,A,WBGene00035537,A,WBGene00063500,A
WBGene00164400,A,WBGene00038925,A,WBGene00061178,A
WBGene00164407,A,WBGene00028099,A,WBGene00067479,A
WBGene00164412,A,WBGene00030799,A,WBGene00077377,A
WBGene00164415,X,WBGene00029647,X,WBGene00058624,X
WBGene00164416,A,WBGene00027103,A,WBGene00059246,A
WBGene00164418,A,WBGene00041434,A,WBGene00061846,A
WBGene00164419,A,WBGene00031333,A,WBGene00054920,A
WBGene00164420,X,WBGene00037035,X,WBGene00058325,X
WBGene00164421,A,WBGene00025942,A,WBGene00053483,A
WBGene00164429,A,WBGene00031215,A,WBGene00065025,A
WBGene00164434,A,WBGene00025959,A,WBGene00053460,A
WBGene00164442,X,WBGene00036593,X,WBGene00051302,X
WBGene00164443,A,WBGene00031072,A,WBGene00059038,A
WBGene00164449,A,WBGene00039974,A,WBGene00055392,A
WBGene00164450,A,WBGene00029105,A,WBGene00055180,A
WBGene00164457,A,WBGene00023923,A,WBGene00053944,A
WBGene00164474,A,WBGene00026186,A,WBGene00057702,A
WBGene00164477,A,WBGene00034031,A,WBGene00063067,A
WBGene00164483,A,WBGene00032402,A,WBGene00053081,A
WBGene00164490,A,WBGene00034265,A,WBGene00072008,A
WBGene00164491,X,WBGene00025057,X,WBGene00063195,X
WBGene00164493,X,WBGene00035046,X,WBGene00051736,X
WBGene00164496,A,WBGene00037529,A,WBGene00061746,A
WBGene00164510,A,WBGene00039378,A,WBGene00056047,A
WBGene00164514,A,WBGene00029201,A,WBGene00073144,A
WBGene00164528,A,WBGene00033844,A,WBGene00054388,A
WBGene00164529,X,WBGene00029442,X,WBGene00065299,X
WBGene00164531,A,WBGene00039565,A,WBGene00057507,A
WBGene00164539,X,WBGene00029932,X,WBGene00060182,X
WBGene00164541,X,WBGene00036367,X,WBGene00060141,X
WBGene00164557,X,WBGene00034955,X,WBGene00051828,X
WBGene00164558,X,WBGene00032117,X,WBGene00051464,X
WBGene00164560,X,WBGene00025076,X,WBGene00063176,X
WBGene00164567,X,WBGene00036597,X,WBGene00051298,X
WBGene00164571,X,WBGene00035225,X,WBGene00051567,X
WBGene00164576,A,WBGene00031509,A,WBGene00055049,A
WBGene00164581,A,WBGene00030854,A,WBGene00054798,A
WBGene00164587,X,WBGene00025215,X,WBGene00058173,X
WBGene00164594,A,WBGene00026006,A,WBGene00053406,A
WBGene00164601,A,WBGene00042364,A,WBGene00064874,A
WBGene00164603,A,WBGene00037674,A,WBGene00061644,A
WBGene00164612,X,WBGene00036890,X,WBGene00063118,X
WBGene00164613,A,WBGene00030654,A,WBGene00055642,A
WBGene00164616,A,WBGene00030482,A,WBGene00060871,A
WBGene00164627,A,WBGene00025899,A,WBGene00053530,A
WBGene00164630,A,WBGene00037810,A,WBGene00055765,A
WBGene00164634,A,WBGene00028045,A,WBGene00063540,A
WBGene00164638,A,WBGene00036448,A,WBGene00054650,A
WBGene00164639,X,WBGene00036699,X,WBGene00085539,X
WBGene00164651,A,WBGene00029260,A,WBGene00064632,A
WBGene00164667,A,WBGene00031354,A,WBGene00054893,A
WBGene00164668,A,WBGene00037594,A,WBGene00061813,A
WBGene00164669,A,WBGene00025541,A,WBGene00057286,A
WBGene00164670,A,WBGene00035649,A,WBGene00069854,A
WBGene00164675,A,WBGene00037986,A,WBGene00057741,A
WBGene00164683,A,WBGene00029794,A,WBGene00059566,A
WBGene00164685,A,WBGene00039647,A,WBGene00069824,A
WBGene00164688,A,WBGene00028587,A,WBGene00057827,A
WBGene00164691,A,WBGene00030657,A,WBGene00055645,A
WBGene00164696,A,WBGene00025609,A,WBGene00054015,A
WBGene00164697,A,WBGene00035480,A,WBGene00065406,A
WBGene00164704,A,WBGene00031257,A,WBGene00068952,A
WBGene00164709,A,WBGene00031147,A,WBGene00059134,A
WBGene00164714,short,WBGene00024876,A,WBGene00059547,A
WBGene00164724,A,WBGene00026464,A,WBGene00061594,A
WBGene00164731,A,WBGene00031024,A,WBGene00058994,A
WBGene00164732,A,WBGene00034151,A,WBGene00053742,A
WBGene00164742,A,WBGene00040126,A,WBGene00071937,A
WBGene00164744,X,WBGene00034793,X,WBGene00051979,X
WBGene00164745,X,WBGene00029641,X,WBGene00058618,X
WBGene00164746,A,WBGene00033778,A,WBGene00063604,A
WBGene00164750,A,WBGene00029104,A,WBGene00055181,A
WBGene00164756,X,WBGene00089480,X,WBGene00082151,X
WBGene00164764,A,WBGene00042700,A,WBGene00065984,A
WBGene00164765,A,WBGene00031616,A,WBGene00055141,A
WBGene00164767,A,WBGene00041037,A,WBGene00073477,A
WBGene00164784,X,WBGene00035153,X,WBGene00051622,X
WBGene00164792,A,WBGene00034301,A,WBGene00064559,A
WBGene00164793,A,WBGene00041474,A,WBGene00061902,A
WBGene00164810,A,WBGene00039524,A,WBGene00057941,A
WBGene00164818,A,WBGene00032256,A,WBGene00053785,A
WBGene00164821,X,WBGene00036929,X,WBGene00058471,X
WBGene00164830,A,WBGene00025988,A,WBGene00053424,A
WBGene00164836,X,WBGene00029946,X,WBGene00060197,X
WBGene00164841,A,WBGene00040135,A,WBGene00068829,A
WBGene00164853,A,WBGene00037070,A,WBGene00055432,A
WBGene00164855,X,WBGene00032223,X,WBGene00051356,X
WBGene00164873,X,WBGene00035697,X,WBGene00085359,X
WBGene00164878,X,WBGene00027571,X,WBGene00051542,X
WBGene00164886,A,WBGene00041413,A,WBGene00061835,A
WBGene00164888,A,WBGene00035501,A,WBGene00064889,A
WBGene00164893,A,WBGene00029125,A,WBGene00055163,A
WBGene00164894,X,WBGene00036667,X,WBGene00051241,X
WBGene00164906,A,WBGene00026162,A,WBGene00053222,A
WBGene00164909,A,WBGene00031555,A,WBGene00055090,A
WBGene00164910,A,WBGene00023804,A,WBGene00067773,A
WBGene00164920,A,WBGene00041860,A,WBGene00052557,A
WBGene00164924,X,WBGene00035757,X,WBGene00051006,X
WBGene00164926,A,WBGene00029137,A,WBGene00070814,A
WBGene00164933,A,WBGene00034557,A,WBGene00070861,A
WBGene00164934,A,WBGene00031242,A,WBGene00068971,ambiguous
WBGene00164935,A,WBGene00034634,A,WBGene00067738,A
WBGene00164939,A,WBGene00025904,A,WBGene00053525,A
WBGene00164944,A,WBGene00039261,A,WBGene00062272,A
WBGene00164948,X,WBGene00027590,X,WBGene00051530,X
WBGene00164949,A,WBGene00033936,A,WBGene00054305,A
WBGene00164952,A,WBGene00040895,A,WBGene00060432,A
WBGene00164959,A,WBGene00028269,A,WBGene00071947,A
WBGene00164963,X,WBGene00035164,X,WBGene00051613,X
WBGene00164967,A,WBGene00028702,A,WBGene00053141,A
WBGene00175039,A,WBGene00035265,A,WBGene00060383,A
WBGene00175047,A,WBGene00033905,A,WBGene00054276,A
WBGene00175060,A,WBGene00040247,A,WBGene00073076,A
WBGene00175061,A,WBGene00027824,A,WBGene00069667,A
WBGene00175062,A,WBGene00027822,A,WBGene00069672,A
WBGene00175063,A,WBGene00041528,A,WBGene00071504,A
WBGene00175064,A,WBGene00031214,A,WBGene00065026,A
WBGene00175068,A,WBGene00033289,A,WBGene00060044,A
WBGene00175069,A,WBGene00033307,A,WBGene00060025,A
WBGene00175070,A,WBGene00031230,A,WBGene00072034,A
WBGene00175071,A,WBGene00031853,A,WBGene00072037,A
WBGene00175072,A,WBGene00031232,A,WBGene00072039,A
WBGene00175074,A,WBGene00031240,A,WBGene00068973,ambiguous
WBGene00184955,A,WBGene00039077,A,WBGene00064008,A
WBGene00184964,A,WBGene00026813,A,WBGene00066597,A
WBGene00184994,short,WBGene00038213,A,WBGene00052132,A
WBGene00184995,A,WBGene00031162,A,WBGene00065063,A
WBGene00184996,A,WBGene00031161,A,WBGene00065062,A
WBGene00184998,A,WBGene00031168,A,WBGene00065070,A
WBGene00185004,A,WBGene00033848,A,WBGene00054391,A
WBGene00185012,A,WBGene00024243,A,WBGene00072170,A
WBGene00185019,A,WBGene00031541,A,WBGene00055077,A
WBGene00185025,A,WBGene00026293,A,WBGene00065628,A
WBGene00185027,A,WBGene00032647,A,WBGene00052822,A
WBGene00185028,A,WBGene00024066,A,WBGene00053812,A
WBGene00185031,A,WBGene00033582,A,WBGene00069009,A
WBGene00185054,A,WBGene00026259,A,WBGene00065673,A
WBGene00185058,A,WBGene00032347,A,WBGene00054209,A
WBGene00185061,A,WBGene00033348,A,WBGene00059978,A
WBGene00185071,A,WBGene00024283,A,WBGene00071092,A
WBGene00185072,A,WBGene00033063,A,WBGene00062338,A
WBGene00185105,A,WBGene00038302,A,WBGene00052223,A
WBGene00190006,A,WBGene00024077,A,WBGene00053780,A
WBGene00190009,A,WBGene00024228,A,WBGene00062284,A
WBGene00190010,A,WBGene00031296,A,WBGene00054842,A
WBGene00190012,A,WBGene00037078,A,WBGene00055433,A
WBGene00190024,A,WBGene00032648,A,WBGene00062951,A
WBGene00190040,A,WBGene00037782,A,WBGene00055802,A
WBGene00190041,X,WBGene00023684,X,WBGene00051053,X
WBGene00190045,X,WBGene00029434,X,WBGene00065304,X
WBGene00190048,A,WBGene00031195,A,WBGene00065046,A
WBGene00190049,A,WBGene00034249,A,WBGene00070852,A
WBGene00190054,A,WBGene00036439,A,WBGene00054643,A
WBGene00190056,short,WBGene00024284,A,WBGene00072081,A
WBGene00190058,A,WBGene00025425,A,WBGene00057406,A
WBGene00190071,A,WBGene00040570,A,WBGene00077048,A
WBGene00190077,A,WBGene00023820,A,WBGene00069567,A
WBGene00190081,A,WBGene00025980,A,WBGene00078331,A
WBGene00190085,A,WBGene00039337,A,WBGene00063406,A
WBGene00190086,X,WBGene00037012,X,WBGene00058305,X
WBGene00190091,X,WBGene00036238,X,WBGene00063280,X
WBGene00190094,A,WBGene00027209,A,WBGene00064385,A
WBGene00190109,A,WBGene00030465,A,WBGene00060808,A
WBGene00190110,A,WBGene00041542,A,WBGene00072429,A
WBGene00190127,A,WBGene00033448,A,WBGene00060101,A
WBGene00190135,A,WBGene00037100,A,WBGene00055414,A
WBGene00190137,A,WBGene00026070,A,WBGene00053327,A
WBGene00190138,A,WBGene00041718,A,WBGene00052401,A
WBGene00190140,A,WBGene00039777,A,WBGene00054451,A
WBGene00190150,A,WBGene00087236,A,WBGene00068672,A
WBGene00190152,A,WBGene00026107,A,WBGene00053283,A
WBGene00190155,X,WBGene00031938,X,WBGene00066144,X
WBGene00190179,A,WBGene00037210,A,WBGene00059281,A
WBGene00190196,A,WBGene00030699,A,WBGene00055530,A
WBGene00190212,A,WBGene00034053,A,WBGene00063047,A
WBGene00190225,A,WBGene00027708,A,WBGene00055676,A
WBGene00190249,A,WBGene00042654,A,WBGene00057910,A
WBGene00190276,X,WBGene00029363,X,WBGene00066174,X
WBGene00190282,A,WBGene00037700,A,WBGene00055883,A
WBGene00190283,A,WBGene00031298,A,WBGene00054843,A
WBGene00190284,A,WBGene00027436,A,WBGene00063682,A
WBGene00190286,A,WBGene00024311,A,WBGene00067208,A
WBGene00190291,A,WBGene00027689,A,WBGene00055693,A
WBGene00190292,X,WBGene00029590,X,WBGene00058563,X
WBGene00190298,X,WBGene00029626,X,WBGene00058591,X
WBGene00190303,A,WBGene00026708,A,WBGene00072716,A
WBGene00190306,A,WBGene00034115,A,WBGene00053784,A
WBGene00190309,X,WBGene00029639,X,WBGene00058616,X
WBGene00190323,A,WBGene00042473,A,WBGene00059905,A
WBGene00190328,A,WBGene00033294,A,WBGene00060039,A
WBGene00190338,A,WBGene00029060,A,WBGene00055239,A
WBGene00190345,A,WBGene00025621,A,WBGene00054026,A
WBGene00190352,A,WBGene00030898,A,WBGene00058849,A
WBGene00190355,short,WBGene00038271,A,WBGene00052193,A
WBGene00190359,A,WBGene00035838,A,WBGene00066507,A
WBGene00190360,A,WBGene00036537,A,WBGene00054765,A
WBGene00190365,A,WBGene00032078,A,WBGene00069415,A
WBGene00190367,A,WBGene00031620,A,WBGene00055145,A
WBGene00190370,X,WBGene00025177,X,WBGene00058213,X
WBGene00190377,A,WBGene00039758,A,WBGene00057657,A
WBGene00190389,A,WBGene00023926,A,WBGene00053941,A
WBGene00190391,X,WBGene00034700,X,WBGene00052082,X
WBGene00190396,X,WBGene00027738,X,WBGene00058773,X
WBGene00190399,A,WBGene00024293,A,WBGene00071655,A
WBGene00190402,A,WBGene00028400,A,WBGene00062562,A
WBGene00190408,A,WBGene00029084,A,WBGene00055186,A
WBGene00190433,X,WBGene00034954,X,WBGene00051829,X
WBGene00190435,A,WBGene00027997,A,WBGene00063529,A
WBGene00190451,A,WBGene00037085,A,WBGene00055430,A
WBGene00190463,A,WBGene00033912,A,WBGene00054281,A
WBGene00190479,A,WBGene00038498,A,WBGene00064942,A
WBGene00190491,A,WBGene00030477,A,WBGene00060876,A
WBGene00190500,A,WBGene00041704,A,WBGene00052389,A
WBGene00190503,A,WBGene00042058,A,WBGene00055716,A
WBGene00190514,A,WBGene00023710,A,WBGene00065426,A
WBGene00190528,A,WBGene00031524,A,WBGene00055064,A
WBGene00190529,A,WBGene00028265,A,WBGene00071951,A
WBGene00190532,A,WBGene00026125,A,WBGene00053264,A
WBGene00190533,A,WBGene00038916,A,WBGene00060828,A
WBGene00190534,short,WBGene00026137,A,WBGene00053253,A
WBGene00190539,ambiguous,WBGene00031271,A,WBGene00066229,A
WBGene00190547,A,WBGene00024811,A,WBGene00059469,A
WBGene00190554,A,WBGene00028480,A,WBGene00066365,A
WBGene00190561,X,WBGene00029625,X,WBGene00058592,X
WBGene00190565,A,WBGene00041566,A,WBGene00071118,A
WBGene00190567,A,WBGene00025490,A,WBGene00057336,A
WBGene00190580,A,WBGene00035345,A,WBGene00056416,A
WBGene00190582,X,WBGene00036224,X,WBGene00077272,X
WBGene00190591,A,WBGene00040154,A,WBGene00059848,A
WBGene00190600,A,WBGene00028984,A,WBGene00052752,A
WBGene00190602,A,WBGene00026145,A,WBGene00053243,A
WBGene00190616,A,WBGene00041619,A,WBGene00064778,A
